!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"20,006.32","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2004,171
"18,635.50","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,2003,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1998,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1997,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1996,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1995,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1994,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1993,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1992,171
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget revenue refers to refers to an estimate, often itemized, of expected income for a given period for a country.",2019,Public sector finances: budget revenue, ,Currency (USD) - Millions,1991,171
