!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
"24,751.45","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2004,172
"22,968.70","Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,2003,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1998,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1997,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1996,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1995,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1994,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1993,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1992,172
,"Historical data has been sourced from 'Central Bank of Egypt' and forecast data is owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,GlobalData analysis based on information from Central Bank of Egypt,"Total budget expenditure refers to an estimate, often itemized, of expected expenses for a given period for a country. It includes capital expenditures",2019,Public sector finances: budget expenditure, ,Currency (USD) - Millions,1991,172
