!DownloadDisplay,Copyright,Country,Dataset (Source/Database Name),Definition,Forecast Starts From,Indicators,Methodology Notes,Quantity,Year,Min. Sort order
6.49%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1975,102
6.48%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1995,102
6.47%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1996,102
6.06%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1997,102
6.01%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,2007,102
5.92%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,2015,102
5.34%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1981,102
5.15%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,1987,102
5.10%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,2017,102
4.74%,"The data has been calculated by GlobalData based on information from UNSTATS. All content on the site is  owned by GlobalData and, unless otherwise noted, protected by copyright law. It may not be reproduced or redistributed  or commercially dealt without the prior written permission of GlobalData.",Egypt,UNSTATS,"Wholesale and retail trade includes repair of motor vehicles, motorcycles and personal and household goods, sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel, wholesale trade and commission trade, except of motor vehicles and motorcycles, retail trade, except of motor vehicles and motorcycles; repair of personal and household goods. Hotels and restaurants includes both accomodation and food services. The data are in Current Prices in Local Currency.", ,"Real GVA growth: wholesale, retail trade and hotels", ,Number,2009,102
